Номер тендера;Объект;Закон;Вид;Начальная сумма;Дата размещений;Дата окончания;Статус заявки;Организация;Документы
5153538;выполнение работ по ремонту асфальтобетонного покрытия автомобильной дороги в районе дома №14 по пер. Рубежный, на территории Ленинского района города Ставрополя;п. 4 ч. 1 ст. 93 44-ФЗ;No data;415946.76;2022-10-31T15:55:27Z;2022-11-03T17:00:00Z;Завершена;АДМИНИСТРАЦИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;No data
907018;"Проведение проверки правильности применения сметных нормативов, индексов и методологии выполнения сметной документации для объекта ""Выполнение работ по ремонту участка автомобильной дороги по ул. Доваторцев от ул. Мира до ул. Ленина в городе Ставрополе"". ";44-ФЗ;No data;30000.0;2019-06-17T11:21:36Z;2019-06-21T00:00:00Z;Не состоялась;КОМИТЕТ ГОРОДСКОГО ХОЗЯЙСТВА;No data
906394;"Проведение проверки правильности применения сметных нормативов, индексов и методологии выполнения сметной документации для объекта ""Выполнение работ по ремонту участка автомобильной дороги по ул. Доваторцев от ул. Шпаковская до ул. Тухачевского в городе Ставрополе"". ";44-ФЗ;No data;70000.0;2019-06-17T09:11:12Z;2019-06-21T00:00:00Z;Не состоялась;КОМИТЕТ ГОРОДСКОГО ХОЗЯЙСТВА;No data
728441;Поведение проверки правильности применения сметных нормативов, индексов и методологии выполнения сметной документации для объекта: Работы по ремонту и содержанию внутриквартальных автомобильных дорог общего пользования местного значения, в том числе тротуаров, ливневых канализаций, въездов на внутриквартальные автомобильные дороги;44-ФЗ;No data;30000.0;2019-03-27T15:48:06Z;2019-04-02T00:00:00Z;Завершена;АДМИНИСТРАЦИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;No data
722030;"Проведение проверки правильности применения сметных нормативов, индексов и методологии выполнения сметной документации для объекта ""Выполнение работ по ремонту участка автомобильной дороги по ул. Мира от просп. Октябрьской Революции до ул. Достоевского в городе Ставрополе"".";44-ФЗ;No data;100000.0;2019-03-25T14:12:11Z;2019-03-29T00:00:00Z;Завершена;КОМИТЕТ ГОРОДСКОГО ХОЗЯЙСТВА;No data
657349;Выполнение работ по санитарному содержанию участка дороги на территории Промышленного района города Ставрополя;44-ФЗ;No data;99420.49;2019-02-25T13:11:39Z;2019-03-01T06:00:00Z;Завершена;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;No data
624279;"Проведение проверки правильности применения сметных нормативов, индексов и методологии выполнения сметной документации для объекта ""Выполнение работ по ремонту участка автомобильной дороги по ул. Лермонтова от пер. Зеленый до ул. Доваторцев в г. Ставрополе"".";44-ФЗ;No data;90000.0;2019-02-08T14:50:17Z;2019-02-14T00:00:00Z;Завершена;КОМИТЕТ ГОРОДСКОГО ХОЗЯЙСТВА;No data
624271;"Проведение проверки правильности применения сметных нормативов, индексов и методологии выполнения сметной документации для объекта ""Выполнение работ по ремонту участка автомобильной дороги по ул. Мира от ул. Доваторцев до просп. Октябрьской Революции в г. Ставрополье"".";44-ФЗ;No data;90000.0;2019-02-08T14:44:06Z;2019-02-14T00:00:00Z;Завершена;КОМИТЕТ ГОРОДСКОГО ХОЗЯЙСТВА;No data
576616;Выполнение работ по санитарному содержанию участка дороги на территории Промышленного района города Ставрополя;44-ФЗ;No data;100000.0;2019-01-18T16:37:25Z;2019-01-21T15:00:00Z;Завершена;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;No data
576610;Выполнение работ по санитарному содержанию проезжей части автомобильной дороги при благоприятных погодных условиях;44-ФЗ;No data;100000.0;2019-01-18T16:24:23Z;2019-01-21T15:00:00Z;Завершена;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;No data
576607;Выполнение работ по посыпке проезжей части автомобильной дороги ПСС;44-ФЗ;No data;100000.0;2019-01-18T16:15:04Z;2019-01-21T15:00:00Z;Завершена;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;No data
576601;Выполнение работ по очистке элементов автомобильной дороги от сезонных наносных отложений и сбору и вывозу мусора на специализированный полигон;44-ФЗ;No data;100000.0;2019-01-18T16:05:15Z;2019-01-21T15:00:00Z;Завершена;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;No data
576593;Выполнение работ по механизированной очистке проезжей части автомобильной дороги от снега ;44-ФЗ;No data;100000.0;2019-01-18T15:52:56Z;2019-01-21T15:00:00Z;Завершена;АДМИНИСТРАЦИЯ ПРОМЫШЛЕННОГО РАЙОНА ГОРОДА СТАВРОПОЛЯ;No data
0121600013922000266;Выполнение работ по зимнему содержанию автомобильных дорог Ипатовского городского округа Ставропольского края;Нет информации;Запрос котировок в электронной форме;2 433 322.00;17.12.22 13:31:26;23.12.22 08:00:00;Идет прием заявок;АДМИНИСТРАЦИЯ ИПАТОВСКОГО ГОРОДСКОГО ОКРУГА СТАВРОПОЛЬСКОГО КРАЯ (ИНН 2608012356);Нет информации
0356300058922000020;Выполнение работ по содержанию дорожных знаков на улично-дорожной сети в Орджоникидзевском районе города Перми;44-ФЗ;Электронный;2 558 414 ;10 декабря 2022 • 12:07;19 декабря 2022  •  08:00;текущая;"МКУ ""БЛАГОУСТРОЙСТВО ОРДЖОНИКИДЗЕВСКОГО РАЙОНА"", г Пермь";No documents
